,,,,
"Census Counts, 2010",,,,
,,,,
Borough,Sex,Race/Ethnicity,Age Group,Population
Brooklyn,Male,Hispanic,12-14 yr,"11,062"
Brooklyn,Male,Hispanic,15-17 yr,"12,210"
Brooklyn,Male,Hispanic,18-19 yr,"8,968"
Brooklyn,Male,Hispanic,20-24 yr,"23,160"
Brooklyn,Male,Hispanic,25-29 yr,"23,455"
Brooklyn,Male,Hispanic,30-34 yr,"21,021"
Brooklyn,Male,Hispanic,35-39 yr,"18,449"
Brooklyn,Male,Hispanic,40-44 yr,"16,608"
Brooklyn,Male,Hispanic,45-49 yr,"14,675"
Brooklyn,Male,Hispanic,50-54 yr,"12,609"
Brooklyn,Male,Hispanic,55-59 yr,"10,184"
Brooklyn,Male,Hispanic,60-64 yr,"8,459"
Brooklyn,Male,Hispanic,65-69 yr,"5,932"
Brooklyn,Male,Hispanic,70-74 yr,"4,277"
Brooklyn,Male,Hispanic,75-79 yr,"2,736"
Brooklyn,Male,Hispanic,80-84 yr,"1,623"
Brooklyn,Male,Hispanic,85+ yr,"1,064"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",Less than 1,"1,560"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",1-4 yr,"6,565"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",5-9 yr,"8,164"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",10-11 yr,"3,069"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",12-14 yr,"5,201"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",15-17 yr,"5,168"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",18-19 yr,"3,617"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",20-24 yr,"10,334"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",25-29 yr,"11,077"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",30-34 yr,"10,320"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",35-39 yr,"9,840"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",40-44 yr,"9,063"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",45-49 yr,"9,788"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",50-54 yr,"9,984"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",55-59 yr,"7,960"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",60-64 yr,"5,862"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",65-69 yr,"3,549"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",70-74 yr,"2,838"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",75-79 yr,"2,055"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",80-84 yr,"1,138"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic",85+ yr,778
Brooklyn,Male,"Other races, non-Hispanic",Less than 1,712
Brooklyn,Male,"Other races, non-Hispanic",1-4 yr,"2,297"
Brooklyn,Male,"Other races, non-Hispanic",5-9 yr,"2,301"
Brooklyn,Male,"Other races, non-Hispanic",10-11 yr,812
Brooklyn,Male,"Other races, non-Hispanic",12-14 yr,"1,159"
Brooklyn,Male,"Other races, non-Hispanic",15-17 yr,"1,245"
Brooklyn,Male,"Other races, non-Hispanic",18-19 yr,806
Brooklyn,Male,"Other races, non-Hispanic",20-24 yr,"2,105"
Brooklyn,Male,"Other races, non-Hispanic",25-29 yr,"2,361"
Brooklyn,Male,"Other races, non-Hispanic",30-34 yr,"2,043"
Brooklyn,Male,"Other races, non-Hispanic",35-39 yr,"1,787"
Brooklyn,Male,"Other races, non-Hispanic",40-44 yr,"1,583"
Brooklyn,Male,"Other races, non-Hispanic",45-49 yr,"1,579"
Brooklyn,Male,"Other races, non-Hispanic",50-54 yr,"1,433"
Brooklyn,Male,"Other races, non-Hispanic",55-59 yr,"1,081"
Brooklyn,Male,"Other races, non-Hispanic",60-64 yr,853
Brooklyn,Male,"Other races, non-Hispanic",65-69 yr,553
Brooklyn,Male,"Other races, non-Hispanic",70-74 yr,387
Brooklyn,Male,"Other races, non-Hispanic",75-79 yr,244
Brooklyn,Male,"Other races, non-Hispanic",80-84 yr,176
Brooklyn,Male,"Other races, non-Hispanic",85+ yr,135
Brooklyn,Female,"White, non-Hispanic",Less than 1,"6,988"
Brooklyn,Female,"White, non-Hispanic",1-4 yr,"24,900"
Brooklyn,Female,"White, non-Hispanic",5-9 yr,"25,539"
Brooklyn,Female,"White, non-Hispanic",10-11 yr,"9,006"
Brooklyn,Female,"White, non-Hispanic",12-14 yr,"13,265"
Brooklyn,Female,"White, non-Hispanic",15-17 yr,"13,278"
Brooklyn,Female,"White, non-Hispanic",18-19 yr,"9,136"
Brooklyn,Female,"White, non-Hispanic",20-24 yr,"32,834"
